a 	 ఒక 	(Oka)	
devote to 	 అంకితం 	(Aṅkitaṁ)	
diagram 	 రేఖాచిత్రం 	(Rēkhācitraṁ)	
diamond 	 వజ్రం 	(Vajraṁ)	
diary 	 డైరీ 	(Ḍairī)	
dictionary 	 నిఘంటువు 	(Nighaṇṭuvu)	
die 	 చనిపోతారు 	(Canipōtāru)	
die away 	 చనిపోతారు 	(Canipōtāru)	
die out 	 చనిపోతాయి 	(Canipōtāyi)	
diet 	 ఆహారం 	(Āhāraṁ)	
difference 	 తేడా 	(Tēḍā)	
different 	 భిన్నమైనది 	(Bhinnamainadi)	
differently 	 భిన్నంగా 	(Bhinnaṅgā)	
difficult 	 కష్టం 	(Kaṣṭaṁ)	
difficulty 	 కష్టం 	(Kaṣṭaṁ)	
dig 	 తవ్వు 	(Tavvu)	
digital 	 డిజిటల్ 	(Ḍijiṭal)	
dinner 	 విందు 	(Vindu)	
direct 	 ప్రత్యక్షంగా 	(Pratyakṣaṅgā)	
direction 	 దిశ 	(Diśa)	
directly 	 నేరుగా 	(Nērugā)	
director 	 దర్శకుడు 	(Darśakuḍu)	
dirt 	 మురికి 	(Muriki)	
dirty 	 మురికి 	(Muriki)	
disabled 	 వికలాంగుడు 	(Vikalāṅguḍu)	
disadvantage 	 ప్రతికూలత 	(Pratikūlata)	
disagree 	 ఏకీభవించలేదు 	(Ēkībhavin̄calēdu)	
disagreement 	 అసమ్మతి 	(Asam'mati)	
disagree with doing 	 చేయడంతో విభేదిస్తున్నారు 	(Cēyaḍantō vibhēdistunnāru)	
disappear 	 అదృశ్యం 	(Adr̥śyaṁ)	
disappoint 	 నిరాశ 	(Nirāśa)	
disappointed 	 నిరాశ చెందాడు 	(Nirāśa cendāḍu)	
disappointing 	 నిరాశపరిచింది 	(Nirāśaparicindi)	
disappointment 	 నిరాశ 	(Nirāśa)	
disapproval 	 అసమ్మతి 	(Asam'mati)	
disapprove 	 ఒప్పుకోరు 	(Oppukōru)	
disapproving 	 నిరాకరించడం 	(Nirākarin̄caḍaṁ)	
disaster 	 విపత్తు 	(Vipattu)	
disc 	 డిస్క్ 	(Ḍisk)	
discipline 	 క్రమశిక్షణ 	(Kramaśikṣaṇa)	
discount 	 తగ్గింపు 	(Taggimpu)	
discover 	 కనుగొనండి 	(Kanugonaṇḍi)	
discovery 	 ఆవిష్కరణ 	(Āviṣkaraṇa)	
discuss 	 చర్చించండి 	(Carcin̄caṇḍi)	
discussion 	 చర్చ 	(Carca)	
disease 	 వ్యాధి 	(Vyādhi)	
disgust 	 అసహ్యం 	(Asahyaṁ)	
disgusted 	 అసహ్యం వేసింది 	(Asahyaṁ vēsindi)	
disgusting 	 అసహ్యకరమైన 	(Asahyakaramaina)	
dish 	 వంటకం 	(Vaṇṭakaṁ)	
dishonest 	 నిజాయితీ లేని 	(Nijāyitī lēni)	
dishonestly 	 నిజాయితీ లేకుండా 	(Nijāyitī lēkuṇḍā)	
disk 	 డిస్క్ 	(Ḍisk)	
dislike 	 అయిష్టం 	(Ayiṣṭaṁ)	
dismiss 	 తొలగించు 	(Tolagin̄cu)	
display 	 ప్రదర్శన 	(Pradarśana)	
dissolve 	 కరిగిపోతాయి 	(Karigipōtāyi)	
distance 	 దూరం 	(Dūraṁ)	
distinguish 	 వేరు 	(Vēru)	
distribute 	 పంపిణీ 	(Pampiṇī)	
distribution 	 పంపిణీ 	(Pampiṇī)	
district 	 జిల్లా 	(Jillā)	
disturb 	 భంగం కలిగించు 	(Bhaṅgaṁ kaligin̄cu)	
disturbing 	 కలవరపెడుతోంది 	(Kalavarapeḍutōndi)	
divide 	 విభజించు 	(Vibhajin̄cu)	
division 	 విభజన 	(Vibhajana)	
divorce 	 విడాకులు 	(Viḍākulu)	
divorced 	 విడాకులు తీసుకున్నారు 	(Viḍākulu tīsukunnāru)	
do 1 	 చేయండి 1 	(Cēyaṇḍi 1)	
doctor 	 వైద్యుడు 	(Vaidyuḍu)	
document 	 పత్రం 	(Patraṁ)	
dog 	 కుక్క 	(Kukka)	
dollar 	 డాలర్ 	(Ḍālar)	
domestic 	 దేశీయ 	(Dēśīya)	
dominate 	 ఆధిపత్యం చెలాయిస్తాయి 	(Ādhipatyaṁ celāyistāyi)	
door 	 తలుపు 	(Talupu)	
dot 	 చుక్క 	(Cukka)	
double 	 రెట్టింపు 	(Reṭṭimpu)	
doubt 	 సందేహం 	(Sandēhaṁ)	
do up 	 అప్ చేయండి 	(Ap cēyaṇḍi)	
do with 	 తో చేయండి 	(Tō cēyaṇḍi)	
do without 	 లేకుండా చేయండి 	(Lēkuṇḍā cēyaṇḍi)	
down 	 క్రిందికి 	(Krindiki)	
downstairs 	 మెట్లమీద 	(Meṭlamīda)	
downward 	 క్రిందికి 	(Krindiki)	
downwards 	 క్రిందికి 	(Krindiki)	
dozen 	 డజను 	(Ḍajanu)	
draft 	 డ్రాఫ్ట్ 	(Ḍrāphṭ)	
drag 	 లాగండి 	(Lāgaṇḍi)	
drama 	 నాటకం 	(Nāṭakaṁ)	
dramatic 	 నాటకీయమైన 	(Nāṭakīyamaina)	
dramatically 	 నాటకీయంగా 	(Nāṭakīyaṅgā)	
draw 	 డ్రా 	(Ḍrā)	
drawer 	 సొరుగు 	(Sorugu)	
drawing 	 డ్రాయింగ్ 	(Ḍrāyiṅg)	
dream 	 కల 	(Kala)	
dress 	 దుస్తులు 	(Dustulu)	
dressed 	 దుస్తులు ధరించారు 	(Dustulu dharin̄cāru)	
dress up 	 దుస్తులు ధరించండి 	(Dustulu dharin̄caṇḍi)	
drink 	 త్రాగండి 	(Trāgaṇḍi)	
drive 	 డ్రైవ్ 	(Ḍraiv)	
drive away 	 తరిమికొట్టండి 	(Tarimikoṭṭaṇḍi)	
drive off 	 తరిమికొట్టండి 	(Tarimikoṭṭaṇḍi)	
driver 	 డ్రైవర్ 	(Ḍraivar)	
driving 	 డ్రైవింగ్ 	(Ḍraiviṅg)	
drop 	 డ్రాప్ 	(Ḍrāp)	
drop out 	 డ్రాప్ అవుట్ 	(Ḍrāp avuṭ)	
drug 	 మందు 	(Mandu)	
drugstore 	 మందుల దుకాణం 	(Mandula dukāṇaṁ)	
drum 	 డ్రమ్ 	(Ḍram)	
drunk 	 తాగిన 	(Tāgina)	
dry 	 పొడి 	(Poḍi)	
dry off 	 పొడిగా 	(Poḍigā)	
dry up 	 ఎండిపోతాయి 	(Eṇḍipōtāyi)	
due 	 రావాల్సి ఉంది 	(Rāvālsi undi)	
dull 	 నిస్తేజంగా 	(Nistējaṅgā)	
dump 	 డంప్ 	(Ḍamp)	
during 	 సమయంలో 	(Samayanlō)	
dust 	 దుమ్ము 	(Dum'mu)	
duty 	 విధి 	(Vidhi)	
DVD 	 DVD 	(DVD)	
dying 	 చనిపోతున్నది 	(Canipōtunnadi)	
each 	 ప్రతి 	(Prati)	
each other 	 ఒకరికొకరు 	(Okarikokaru)	
ear 	 చెవి 	(Cevi)	
early 	 ప్రారంభ 	(Prārambha)	
earn 	 సంపాదిస్తారు 	(Sampādistāru)	
earth 	 భూమి 	(Bhūmi)	
ease 	 తేలిక 	(Tēlika)	
easily 	 సులభంగా 	(Sulabhaṅgā)	
east 	 తూర్పు 	(Tūrpu)	
eastern 	 తూర్పు 	(Tūrpu)	
easy 	 సులభంగా 	(Sulabhaṅgā)	
eat 	 తినండి 	(Tinaṇḍi)	
eat out 	 బయట తినండి 	(Bayaṭa tinaṇḍi)	
eat up 	 తిను 	(Tinu)	
economic 	 ఆర్థిక 	(Ārthika)	
economy 	 ఆర్థిక వ్యవస్థ 	(Ārthika vyavastha)	
edge 	 అంచు 	(An̄cu)	
edition 	 ఎడిషన్ 	(Eḍiṣan)	
editor 	 సంపాదకుడు 	(Sampādakuḍu)	
educate 	 చదువు 	(Caduvu)	
educated 	 విద్యావంతుడు 	(Vidyāvantuḍu)	
education 	 విద్య 	(Vidya)	
effect 	 ప్రభావం 	(Prabhāvaṁ)	
effective 	 సమర్థవంతమైన 	(Samarthavantamaina)	
effectively 	 సమర్థవంతంగా 	(Samarthavantaṅgā)	
efficient 	 సమర్థవంతమైన 	(Samarthavantamaina)	
efficiently 	 సమర్ధవంతంగా 	(Samardhavantaṅgā)	
effort 	 కృషి 	(Kr̥ṣi)	
e.g. 	 ఉదా 	(Udā)	
egg 	 గుడ్డు 	(Guḍḍu)	
eight 	 ఎనిమిది 	(Enimidi)	
eighteen 	 పద్దెనిమిది 	(Paddenimidi)	
eighteenth 	 పద్దెనిమిదవది 	(Paddenimidavadi)	
eighth 	 ఎనిమిదవది 	(Enimidavadi)	
eightieth 	 ఎనభైవది 	(Enabhaivadi)	
eighty 	 ఎనభై 	(Enabhai)	
either 	 గాని 	(Gāni)	
elbow 	 మోచేయి 	(Mōcēyi)	
elderly 	 వృద్ధుడు 	(Vr̥d'dhuḍu)	
elect 	 ఎన్నుకోబడతారు 	(Ennukōbaḍatāru)	
election 	 ఎన్నిక 	(Ennika)	
electric 	 విద్యుత్ 	(Vidyut)	
electrical 	 విద్యుత్ 	(Vidyut)	
electricity 	 విద్యుత్ 	(Vidyut)	
electronic 	 ఎలక్ట్రానిక్ 	(Elakṭrānik)	
elegant 	 సొగసైన 	(Sogasaina)	
element 	 మూలకం 	(Mūlakaṁ)	
elevator 	 ఎలివేటర్ 	(Elivēṭar)	
eleven 	 పదకొండు 	(Padakoṇḍu)	
eleventh 	 పదకొండవ 	(Padakoṇḍava)	
else 	 వేరే 	(Vērē)	
elsewhere 	 మరెక్కడా 	(Marekkaḍā)	
email 	 ఇమెయిల్ 	(Imeyil)	
embarrass 	 ఇబ్బంది 	(Ibbandi)	
embarrassed 	 ఇబ్బందిపడ్డాడు 	(Ibbandipaḍḍāḍu)	
embarrassing 	 ఇబ్బందికరంగా 	(Ibbandikaraṅgā)	
embarrassment 	 ఇబ్బంది 	(Ibbandi)	
emerge 	 ఉద్భవిస్తాయి 	(Udbhavistāyi)	
emergency 	 అత్యవసర 	(Atyavasara)	
emotion 	 భావోద్వేగం 	(Bhāvōdvēgaṁ)	
emotional 	 భావోద్వేగ 	(Bhāvōdvēga)	
emotionally 	 మానసికంగా 	(Mānasikaṅgā)	
emphasis 	 ఉద్ఘాటన 	(Udghāṭana)	
emphasize 	 నొక్కిచెప్పండి 	(Nokkiceppaṇḍi)	
empire 	 సామ్రాజ్యం 	(Sāmrājyaṁ)	
employ 	 ఉపాధి కల్పిస్తాయి 	(Upādhi kalpistāyi)	
employee 	 ఉద్యోగి 	(Udyōgi)	
employer 	 యజమాని 	(Yajamāni)	
employment 	 ఉపాధి 	(Upādhi)	
empty 	 ఖాళీ 	(Khāḷī)	
enable 	 ప్రారంభించు 	(Prārambhin̄cu)	
encounter 	 ఎన్కౌంటర్ 	(Enkauṇṭar)	
encourage 	 ప్రోత్సహిస్తాయి 	(Prōtsahistāyi)	
encouragement 	 ప్రోత్సాహం 	(Prōtsāhaṁ)	
end 	 ముగింపు 	(Mugimpu)	
end in 	 ముగుస్తుంది 	(Mugustundi)	
ending 	 ముగింపు 	(Mugimpu)	
end up 	 ముగుస్తుంది 	(Mugustundi)	
enemy 	 శత్రువు 	(Śatruvu)	
energy 	 శక్తి 	(Śakti)	
engage 	 నిమగ్నమై 	(Nimagnamai)	
engaged 	 నిశ్చితార్థం 	(Niścitārthaṁ)	
engine 	 ఇంజిన్ 	(In̄jin)	
engineer 	 ఇంజనీర్ 	(In̄janīr)	
engineering 	 ఇంజనీరింగ్ 	(In̄janīriṅg)	
enjoy 	 ఆనందించండి 	(Ānandin̄caṇḍi)	
enjoyable 	 ఆనందించే 	(Ānandin̄cē)	
enjoyment 	 ఆనందం 	(Ānandaṁ)	
enormous 	 అపారమైన 	(Apāramaina)	
enough 	 తగినంత 	(Taginanta)	
enquiry 	 విచారణ 	(Vicāraṇa)	
ensure 	 నిర్ధారించండి 	(Nirdhārin̄caṇḍi)	
enter 	 ఎంటర్ 	(Eṇṭar)	
entertain 	 వినోదం 	(Vinōdaṁ)	
entertainer 	 వినోదిని 	(Vinōdini)	
entertaining 	 వినోదాత్మకంగా 	(Vinōdātmakaṅgā)	
entertainment 	 వినోదం 	(Vinōdaṁ)	
enthusiasm 	 ఉత్సాహం 	(Utsāhaṁ)	
enthusiastic 	 ఉత్సాహభరితమైన 	(Utsāhabharitamaina)	
enthusiastically 	 ఉత్సాహంగా 	(Utsāhaṅgā)	
entire 	 మొత్తం 	(Mottaṁ)	
entirely 	 పూర్తిగా 	(Pūrtigā)	
entitle 	 హక్కు 	(Hakku)	
entrance 1 	 ప్రవేశ 1 	(Pravēśa 1)	
entry 	 ప్రవేశం 	(Pravēśaṁ)	
envelope 	 కవరు 	(Kavaru)	
environment 	 పర్యావరణం 	(Paryāvaraṇaṁ)	
environmental 	 పర్యావరణ 	(Paryāvaraṇa)	
equal 	 సమానం 	(Samānaṁ)	
equally 	 సమానంగా 	(Samānaṅgā)	
equipment 	 పరికరాలు 	(Parikarālu)	
equivalent 	 సమానమైన 	(Samānamaina)	
error 	 లోపం 	(Lōpaṁ)	
escape 	 తప్పించుకుంటారు 	(Tappin̄cukuṇṭāru)	
especially 	 ముఖ్యంగా 	(Mukhyaṅgā)	
essay 	 వ్యాసం 	(Vyāsaṁ)	
essential 	 అవసరమైన 	(Avasaramaina)	
essentially 	 ముఖ్యంగా 	(Mukhyaṅgā)	
establish 	 ఏర్పాటు 	(Ērpāṭu)	
estate 	 ఎస్టేట్ 	(Esṭēṭ)	
estimate 	 అంచనా 	(An̄canā)	
etc. 	 మొదలైనవి 	(Modalainavi)	
euro 	 యూరో 	(Yūrō)	
even 	 కూడా 	(Kūḍā)	
evening 	 సాయంత్రం 	(Sāyantraṁ)	
event 	 సంఘటన 	(Saṅghaṭana)	
eventually 	 చివరికి 	(Civariki)	
ever 	 ఎప్పుడూ 	(Eppuḍū)	
every 	 ప్రతి 	(Prati)	
everybody 	 అందరూ 	(Andarū)	
everyone 	 ప్రతి ఒక్కరూ 	(Prati okkarū)	
everything 	 ప్రతిదీ 	(Pratidī)	
everywhere 	 ప్రతిచోటా 	(Praticōṭā)	
evidence 	 సాక్ష్యం 	(Sākṣyaṁ)	
evil 	 చెడు 	(Ceḍu)	
ex- 	 మాజీ- 	(Mājī-)	
exact 	 ఖచ్చితమైన 	(Khaccitamaina)	
exactly 	 సరిగ్గా 	(Sariggā)	
exaggerate 	 అతిశయోక్తి 	(Atiśayōkti)	
exaggerated 	 అతిశయోక్తి 	(Atiśayōkti)	
exam 	 పరీక్ష 	(Parīkṣa)	
examination 	 పరీక్ష 	(Parīkṣa)	
examine 	 పరిశీలించండి 	(Pariśīlin̄caṇḍi)	
example 	 ఉదాహరణ 	(Udāharaṇa)	
excellent 	 అద్భుతమైన 	(Adbhutamaina)	
except 	 తప్ప 	(Tappa)	
exception 	 మినహాయింపు 	(Minahāyimpu)	
exchange 	 మార్పిడి 	(Mārpiḍi)	
excite 	 ఉత్తేజపరుస్తాయి 	(Uttējaparustāyi)	
excited 	 ఉత్సాహంగా 	(Utsāhaṅgā)	
excitement 	 ఉత్సాహం 	(Utsāhaṁ)	
exciting 	 ఉత్తేజకరమైన 	(Uttējakaramaina)	
exclude 	 మినహాయించండి 	(Minahāyin̄caṇḍi)	
excluding 	 మినహాయించి 	(Minahāyin̄ci)	
excuse 	 మన్నించు 	(Mannin̄cu)	
executive 	 కార్యనిర్వాహకుడు 	(Kāryanirvāhakuḍu)	
exercise 	 వ్యాయామం 	(Vyāyāmaṁ)	
exhibit 	 ప్రదర్శించు 	(Pradarśin̄cu)	
exhibition 	 ప్రదర్శన 	(Pradarśana)	
exist 	 ఉనికిలో ఉన్నాయి 	(Unikilō unnāyi)	
existence 	 ఉనికి 	(Uniki)	
exit 	 నిష్క్రమించు 	(Niṣkramin̄cu)	
expand 	 విస్తరించండి 	(Vistarin̄caṇḍi)	
expect 	 ఆశించవచ్చు 	(Āśin̄cavaccu)	
expectation 	 నిరీక్షణ 	(Nirīkṣaṇa)	
expected 	 ఊహించబడింది 	(Ūhin̄cabaḍindi)	
expense 	 ఖర్చు 	(Kharcu)	
expensive 	 ఖరీదైన 	(Kharīdaina)	
experience 	 అనుభవం 	(Anubhavaṁ)	
experienced 	 అనుభవించాడు 	(Anubhavin̄cāḍu)	
experiment 	 ప్రయోగం 	(Prayōgaṁ)	
expert 	 నిపుణుడు 	(Nipuṇuḍu)	
explain 	 వివరించండి 	(Vivarin̄caṇḍi)	
explanation 	 వివరణ 	(Vivaraṇa)	
explode 	 పేలుడు 	(Pēluḍu)	
explore 	 అన్వేషించండి 	(Anvēṣin̄caṇḍi)	
explosion 	 పేలుడు 	(Pēluḍu)	
export 	 ఎగుమతి 	(Egumati)	
expose 	 బహిర్గతం చేయండి 	(Bahirgataṁ cēyaṇḍi)	
express 	 ఎక్స్ప్రెస్ 	(Ekspres)	
expression 	 వ్యక్తీకరణ 	(Vyaktīkaraṇa)	
extend 	 విస్తరించు 	(Vistarin̄cu)	
extension 	 పొడిగింపు 	(Poḍigimpu)	
extensive 	 విస్తృతమైన 	(Vistr̥tamaina)	
extent 	 మేరకు 	(Mēraku)	
extra 	 అదనపు 	(Adanapu)	
extraordinary 	 అసాధారణమైన 	(Asādhāraṇamaina)	
extreme 	 తీవ్రమైన 	(Tīvramaina)	
extremely 	 అత్యంత 	(Atyanta)	
eye 	 కన్ను 	(Kannu)	
face 	 ముఖం 	(Mukhaṁ)	
face up to 	 వరకు ముఖం 	(Varaku mukhaṁ)	
facility 	 సౌకర్యం 	(Saukaryaṁ)	
fact 	 వాస్తవం 	(Vāstavaṁ)	
factor 	 కారకం 	(Kārakaṁ)	
factory 	 కర్మాగారం 	(Karmāgāraṁ)	
fail 	 విఫలం 	(Viphalaṁ)	
failure 	 వైఫల్యం 	(Vaiphalyaṁ)	
faint 	 మూర్ఛపోతుంది 	(Mūrchapōtundi)	
faintly 	 మందకొడిగా 	(Mandakoḍigā)	
fair 	 న్యాయమైన 	(N'yāyamaina)	
fairly 	 న్యాయంగా 	(N'yāyaṅgā)	
faith 	 విశ్వాసం 	(Viśvāsaṁ)	
faithful 	 నమ్మకమైన 	(Nam'makamaina)	
faithfully 	 నమ్మకంగా 	(Nam'makaṅgā)	
fall 	 పతనం 	(Patanaṁ)	
false 	 తప్పుడు 	(Tappuḍu)	
fame 	 కీర్తి 	(Kīrti)	
familiar 	 తెలిసిన 	(Telisina)	
family 	 కుటుంబం 	(Kuṭumbaṁ)	
famous 	 ప్రసిద్ధి 	(Prasid'dhi)	
fan 	 అభిమాని 	(Abhimāni)	
fancy 	 ఫాన్సీ 	(Phānsī)	
far 	 చాలా దూరం 	(Cālā dūraṁ)	
farm 	 పొలం 	(Polaṁ)	
farmer 	 రైతు 	(Raitu)	
farming 	 వ్యవసాయం 	(Vyavasāyaṁ)	
farther 	 దూరంగా 	(Dūraṅgā)	
farthest 	 చాలా దూరం 	(Cālā dūraṁ)	
fashion 	 ఫ్యాషన్ 	(Phyāṣan)	
fashionable 	 ఫ్యాషన్ 	(Phyāṣan)	
fast 	 వేగంగా 	(Vēgaṅgā)	
fasten 	 కట్టు 	(Kaṭṭu)	
fat 	 లావు 	(Lāvu)	
father 	 తండ్రి 	(Taṇḍri)	
faucet 	 పీపాలో నుంచి నీళ్లు బయిటికి రావడమునకు వేసివుండే చిన్న గొట్టము 	(Pīpālō nun̄ci nīḷlu bayiṭiki rāvaḍamunaku vēsivuṇḍē cinna goṭṭamu)	
fault 	 తప్పు 	(Tappu)	
favour 	 అనుకూలంగా 	(Anukūlaṅgā)	
favourite 	 ఇష్టమైన 	(Iṣṭamaina)	
fear 	 భయం 	(Bhayaṁ)	
feather 	 ఈక 	(Īka)	
feature 	 లక్షణం 	(Lakṣaṇaṁ)	
February 	 ఫిబ్రవరి 	(Phibravari)	
federal 	 సమాఖ్య 	(Samākhya)	
fee 	 రుసుము 	(Rusumu)	
feed 	 తిండి 	(Tiṇḍi)	
feel 	 అనుభూతి 	(Anubhūti)	
feeling 	 అనుభూతి 	(Anubhūti)	
fellow 	 తోటి 	(Tōṭi)	
female 	 స్త్రీ 	(Strī)	
fence 	 కంచె 	(Kan̄ce)	
festival 	 పండుగ 	(Paṇḍuga)	
fetch 	 తీసుకుని 	(Tīsukuni)	
fever 	 జ్వరం 	(Jvaraṁ)	
few 	 కొన్ని 	(Konni)	
field 	 ఫీల్డ్ 	(Phīlḍ)	
fifteen 	 పదిహేను 	(Padihēnu)	
fifteenth 	 పదిహేనవది 	(Padihēnavadi)	
fifth 	 ఐదవది 	(Aidavadi)	
fiftieth 	 యాభైవది 	(Yābhaivadi)	
fifty 	 యాభై 	(Yābhai)	
fight 	 పోరాడు 	(Pōrāḍu)	
fighting 	 పోరాడుతున్నారు 	(Pōrāḍutunnāru)	
figure 	 బొమ్మ 	(Bom'ma)	
figure out 	 గుర్తించండి 	(Gurtin̄caṇḍi)	
file 	 ఫైల్ 	(Phail)	
fill 	 నింపండి 	(Nimpaṇḍi)	
fill in 	 పూరించండి 	(Pūrin̄caṇḍi)	
fill out 	 పూరించండి 	(Pūrin̄caṇḍi)	
fill up 	 నింపండి 	(Nimpaṇḍi)	
film 	 చిత్రం 	(Citraṁ)	
final 	 ఫైనల్ 	(Phainal)	
finally 	 చివరకు 	(Civaraku)	
finance 	 ఫైనాన్స్ 	(Phaināns)	
financial 	 ఆర్థిక 	(Ārthika)	
find 	 కనుగొనండి 	(Kanugonaṇḍi)	
find out 	 కనుక్కోండి 	(Kanukkōṇḍi)	
fine 	 జరిమానా 	(Jarimānā)	
finely 	 చక్కగా 	(Cakkagā)	
finger 	 వేలు 	(Vēlu)	
finish 	 పూర్తి 	(Pūrti)	
finished 	 పూర్తయింది 	(Pūrtayindi)	
finish off 	 ముగించు 	(Mugin̄cu)	
fire 	 అగ్ని 	(Agni)	
firm 	 సంస్థ 	(Sanstha)	
firmly 	 దృఢంగా 	(Dr̥ḍhaṅgā)	
first 	 మొదటి 	(Modaṭi)	
fish 	 చేప 	(Cēpa)	
fishing 	 చేపలు పట్టడం 	(Cēpalu paṭṭaḍaṁ)	
fit 	 సరిపోయింది 	(Saripōyindi)	
fit in 	 సరిపోతాయి 	(Saripōtāyi)	
five 	 ఐదు 	(Aidu)	
fix 	 పరిష్కరించండి 	(Pariṣkarin̄caṇḍi)	
fixed 	 పరిష్కరించబడింది 	(Pariṣkarin̄cabaḍindi)	
flag 	 జెండా 	(Jeṇḍā)	
flame 	 జ్వాల 	(Jvāla)	
flash 	 ఫ్లాష్ 	(Phlāṣ)	
flat 	 ఫ్లాట్ 	(Phlāṭ)	
flavour 	 రుచి 	(Ruci)	
flesh 	 మాంసం 	(Mānsaṁ)	
flight 	 విమానము 	(Vimānamu)	
float 	 తేలుతుంది 	(Tēlutundi)	
flood 	 వరద 	(Varada)	
flooded 	 వరదలు వచ్చాయి 	(Varadalu vaccāyi)	
flooding 	 వరదలు 	(Varadalu)	
floor 	 అంతస్తు 	(Antastu)	
flour 	 పిండి 	(Piṇḍi)	
flow 	 ప్రవాహం 	(Pravāhaṁ)	
flower 	 పువ్వు 	(Puvvu)	
flu 	 ఫ్లూ 	(Phlū)	
fly 	 ఎగురుతాయి 	(Egurutāyi)	
flying 	 ఎగురుతూ 	(Egurutū)	
focus 	 దృష్టి 	(Dr̥ṣṭi)	
fold 	 రెట్లు 	(Reṭlu)	
folding 	 మడత 	(Maḍata)	
follow 	 అనుసరించండి 	(Anusarin̄caṇḍi)	
following 	 అనుసరించడం 	(Anusarin̄caḍaṁ)	
follow up 	 అనుసరించండి 	(Anusarin̄caṇḍi)	
food 	 ఆహారం 	(Āhāraṁ)	
foot 	 అడుగు 	(Aḍugu)	
football 	 ఫుట్బాల్ 	(Phuṭbāl)	
for 	 కోసం 	(Kōsaṁ)	
force 	 బలవంతం 	(Balavantaṁ)	
forecast 	 సూచన 	(Sūcana)	
foreign 	 విదేశీ 	(Vidēśī)	
forest 	 అడవి 	(Aḍavi)	
forever 	 ఎప్పటికీ 	(Eppaṭikī)	
forget 	 మర్చిపోతారు 	(Marcipōtāru)	
forgive 	 క్షమించు 	(Kṣamin̄cu)	
fork 	 ఫోర్క్ 	(Phōrk)	
form 	 రూపం 	(Rūpaṁ)	
formal 	 అధికారిక 	(Adhikārika)	
formally 	 అధికారికంగా 	(Adhikārikaṅgā)	
former 	 మాజీ 	(Mājī)	
formerly 	 పూర్వం 	(Pūrvaṁ)	
formula 	 సూత్రం 	(Sūtraṁ)	
fortieth 	 నలభైవది 	(Nalabhaivadi)	
fortune 	 అదృష్టం 	(Adr̥ṣṭaṁ)	
forty 	 నలభై 	(Nalabhai)	
forward 	 ముందుకు 	(Munduku)	
found 	 దొరికింది 	(Dorikindi)	
foundation 	 పునాది 	(Punādi)	
four 	 నాలుగు 	(Nālugu)	
fourteen 	 పద్నాలుగు 	(Padnālugu)	
fourteenth 	 పద్నాలుగో 	(Padnālugō)	
fourth 	 నాల్గవది 	(Nālgavadi)	
frame 	 ఫ్రేమ్ 	(Phrēm)	
free 	 ఉచిత 	(Ucita)	
freedom 	 స్వేచ్ఛ 	(Svēccha)	
freely 	 స్వేచ్ఛగా 	(Svēcchagā)	
freeze 	 ఫ్రీజ్ 	(Phrīj)	
frequent 	 తరచుగా 	(Taracugā)	
frequently 	 తరచుగా 	(Taracugā)	
fresh 	 తాజా 	(Tājā)	
freshly 	 తాజాగా 	(Tājāgā)	
Friday 	 శుక్రవారం 	(Śukravāraṁ)	
fridge 	 ఫ్రిజ్ 	(Phrij)	
friend 	 స్నేహితుడు 	(Snēhituḍu)	
friendly 	 స్నేహపూర్వక 	(Snēhapūrvaka)	
friendship 	 స్నేహం 	(Snēhaṁ)	
frighten 	 భయపెట్టు 	(Bhayapeṭṭu)	
frighten away/off 	 భయపెట్టండి/ఆఫ్ చేయండి 	(Bhayapeṭṭaṇḍi/āph cēyaṇḍi)	
frightened 	 భయపడ్డాను 	(Bhayapaḍḍānu)	
frightening 	 భయపెట్టే 	(Bhayapeṭṭē)	
from 	 నుండి 	(Nuṇḍi)	
front 	 ముందు 	(Mundu)	
frozen 	 ఘనీభవించిన 	(Ghanībhavin̄cina)	
fruit 	 పండు 	(Paṇḍu)	
fry 	 వేయించు 	(Vēyin̄cu)	
fuel 	 ఇంధనం 	(Indhanaṁ)	
full 	 పూర్తి 	(Pūrti)	
fully 	 పూర్తిగా 	(Pūrtigā)	
fun 	 సరదాగా 	(Saradāgā)	
function 	 ఫంక్షన్ 	(Phaṅkṣan)	
function as 	 ఫంక్షన్ 	(Phaṅkṣan)	
fund 	 నిధి 	(Nidhi)	
fundamental 	 ప్రాథమిక 	(Prāthamika)	
funeral 	 అంత్యక్రియలు 	(Antyakriyalu)	
funny 	 తమాషా 	(Tamāṣā)	
fur 	 బొచ్చు 	(Boccu)	
furniture 	 ఫర్నిచర్ 	(Pharnicar)	
further 	 మరింత 	(Marinta)	
future 	 భవిష్యత్తు 	(Bhaviṣyattu)	
gain 	 లాభం 	(Lābhaṁ)	
gallon 	 గాలన్ 	(Gālan)	
gamble 	 జూదం 	(Jūdaṁ)	
gambling 	 జూదం 	(Jūdaṁ)	
game 	 ఆట 	(Āṭa)	
gap 	 అంతరం 	(Antaraṁ)	
garage 	 గారేజ్ 	(Gārēj)	
garbage 	 చెత్త 	(Cetta)	
garden 	 తోట 	(Tōṭa)	
gas 	 వాయువు 	(Vāyuvu)	
gasoline 	 గ్యాసోలిన్ 	(Gyāsōlin)	
gate 	 ద్వారం 	(Dvāraṁ)	
gather 	 సేకరించండి 	(Sēkarin̄caṇḍi)	
gear 	 గేర్ 	(Gēr)	
general 	 సాధారణ 	(Sādhāraṇa)	
generally 	 సాధారణంగా 	(Sādhāraṇaṅgā)	
