a	ఒక	oka	[sound:ఒక_google_female.mp3]
demonstrate	ప్రదర్శించండి	pradarśin̄caṇḍi	[sound:ప్రదర్శించండి_google_female.mp3]
dentist	దంతవైద్యుడు	dantavaidyuḍu	[sound:దంతవైద్యుడు_google_female.mp3]
deny	తిరస్కరించు	tiraskarin̄cu	[sound:తిరస్కరించు_google_female.mp3]
department	శాఖ	śākha	[sound:శాఖ_google_female.mp3]
departure	నిష్క్రమణ	niṣkramaṇa	[sound:నిష్క్రమణ_google_female.mp3]
depend	ఆధారపడి ఉంటాయి	ādhārapaḍi uṇṭāyi	[sound:ఆధారపడి ఉంటాయి_google_female.mp3]
depend on	ఆధారపడి ఉంటాయి	ādhārapaḍi uṇṭāyi	[sound:ఆధారపడి ఉంటాయి_google_female.mp3]
deposit	డిపాజిట్	ḍipājiṭ	[sound:డిపాజిట్_google_female.mp3]
depress	నిస్పృహ	nispr̥ha	[sound:నిస్పృహ_google_female.mp3]
depressed	అణగారిన	aṇagārina	[sound:అణగారిన_google_female.mp3]
depressing	నిరుత్సాహపరుస్తుంది	nirutsāhaparustundi	[sound:నిరుత్సాహపరుస్తుంది_google_female.mp3]
depth	లోతు	lōtu	[sound:లోతు_google_female.mp3]
derive	ఉత్పన్నం	utpannaṁ	[sound:ఉత్పన్నం_google_female.mp3]
derive from	నుండి ఉద్భవించాయి	nuṇḍi udbhavin̄cāyi	[sound:నుండి ఉద్భవించాయి_google_female.mp3]
describe	వర్ణించండి	varṇin̄caṇḍi	[sound:వర్ణించండి_google_female.mp3]
description	వివరణ	vivaraṇa	[sound:వివరణ_google_female.mp3]
desert	ఎడారి	eḍāri	[sound:ఎడారి_google_female.mp3]
deserted	ఎడారి	eḍāri	[sound:ఎడారి_google_female.mp3]
deserve	అర్హులు	ar'hulu	[sound:అర్హులు_google_female.mp3]
design	డిజైన్	ḍijain	[sound:డిజైన్_google_female.mp3]
desire	కోరిక	kōrika	[sound:కోరిక_google_female.mp3]
desk	డెస్క్	ḍesk	[sound:డెస్క్_google_female.mp3]
desperate	తీరని	tīrani	[sound:తీరని_google_female.mp3]
desperately	నిర్విరామంగా	nirvirāmaṅgā	[sound:నిర్విరామంగా_google_female.mp3]
despite	ఉన్నప్పటికీ	unnappaṭikī	[sound:ఉన్నప్పటికీ_google_female.mp3]
destroy	నాశనం	nāśanaṁ	[sound:నాశనం_google_female.mp3]
destruction	విధ్వంసం	vidhvansaṁ	[sound:విధ్వంసం_google_female.mp3]
detail	వివరాలు	vivarālu	[sound:వివరాలు_google_female.mp3]
detailed	వివరంగా	vivaraṅgā	[sound:వివరంగా_google_female.mp3]
determination	సంకల్పం	saṅkalpaṁ	[sound:సంకల్పం_google_female.mp3]
determine	నిర్ణయిస్తాయి	nirṇayistāyi	[sound:నిర్ణయిస్తాయి_google_female.mp3]
determined	నిర్ణయించారు	nirṇayin̄cāru	[sound:నిర్ణయించారు_google_female.mp3]
develop	అభివృద్ధి	abhivr̥d'dhi	[sound:అభివృద్ధి_google_female.mp3]
development	అభివృద్ధి	abhivr̥d'dhi	[sound:అభివృద్ధి_google_female.mp3]
device	పరికరం	parikaraṁ	[sound:పరికరం_google_female.mp3]
devote	అంకితం	aṅkitaṁ	[sound:అంకితం_google_female.mp3]
devoted	అంకితం చేయబడింది	aṅkitaṁ cēyabaḍindi	[sound:అంకితం చేయబడింది_google_female.mp3]
devote to	అంకితం	aṅkitaṁ	[sound:అంకితం_google_female.mp3]
diagram	రేఖాచిత్రం	rēkhācitraṁ	[sound:రేఖాచిత్రం_google_female.mp3]
diamond	వజ్రం	vajraṁ	[sound:వజ్రం_google_female.mp3]
diary	డైరీ	ḍairī	[sound:డైరీ_google_female.mp3]
dictionary	నిఘంటువు	nighaṇṭuvu	[sound:నిఘంటువు_google_female.mp3]
die	చనిపోతారు	canipōtāru	[sound:చనిపోతారు_google_female.mp3]
die away	చనిపోతారు	canipōtāru	[sound:చనిపోతారు_google_female.mp3]
die out	చనిపోతాయి	canipōtāyi	[sound:చనిపోతాయి_google_female.mp3]
diet	ఆహారం	āhāraṁ	[sound:ఆహారం_google_female.mp3]
difference	తేడా	tēḍā	[sound:తేడా_google_female.mp3]
different	భిన్నమైనది	bhinnamainadi	[sound:భిన్నమైనది_google_female.mp3]
differently	భిన్నంగా	bhinnaṅgā	[sound:భిన్నంగా_google_female.mp3]
difficult	కష్టం	kaṣṭaṁ	[sound:కష్టం_google_female.mp3]
difficulty	కష్టం	kaṣṭaṁ	[sound:కష్టం_google_female.mp3]
dig	తవ్వు	tavvu	[sound:తవ్వు_google_female.mp3]
digital	డిజిటల్	ḍijiṭal	[sound:డిజిటల్_google_female.mp3]
dinner	విందు	vindu	[sound:విందు_google_female.mp3]
direct	ప్రత్యక్షంగా	pratyakṣaṅgā	[sound:ప్రత్యక్షంగా_google_female.mp3]
direction	దిశ	diśa	[sound:దిశ_google_female.mp3]
directly	నేరుగా	nērugā	[sound:నేరుగా_google_female.mp3]
director	దర్శకుడు	darśakuḍu	[sound:దర్శకుడు_google_female.mp3]
dirt	మురికి	muriki	[sound:మురికి_google_female.mp3]
dirty	మురికి	muriki	[sound:మురికి_google_female.mp3]
disabled	వికలాంగుడు	vikalāṅguḍu	[sound:వికలాంగుడు_google_female.mp3]
disadvantage	ప్రతికూలత	pratikūlata	[sound:ప్రతికూలత_google_female.mp3]
disagree	ఏకీభవించలేదు	ēkībhavin̄calēdu	[sound:ఏకీభవించలేదు_google_female.mp3]
disagreement	అసమ్మతి	asam'mati	[sound:అసమ్మతి_google_female.mp3]
disagree with doing	చేయడంతో విభేదిస్తున్నారు	cēyaḍantō vibhēdistunnāru	[sound:చేయడంతో విభేదిస్తున్నారు_google_female.mp3]
disappear	అదృశ్యం	adr̥śyaṁ	[sound:అదృశ్యం_google_female.mp3]
disappoint	నిరాశ	nirāśa	[sound:నిరాశ_google_female.mp3]
disappointed	నిరాశ చెందాడు	nirāśa cendāḍu	[sound:నిరాశ చెందాడు_google_female.mp3]
disappointing	నిరాశపరిచింది	nirāśaparicindi	[sound:నిరాశపరిచింది_google_female.mp3]
disappointment	నిరాశ	nirāśa	[sound:నిరాశ_google_female.mp3]
disapproval	అసమ్మతి	asam'mati	[sound:అసమ్మతి_google_female.mp3]
disapprove	ఒప్పుకోరు	oppukōru	[sound:ఒప్పుకోరు_google_female.mp3]
disapproving	నిరాకరించడం	nirākarin̄caḍaṁ	[sound:నిరాకరించడం_google_female.mp3]
disaster	విపత్తు	vipattu	[sound:విపత్తు_google_female.mp3]
disc	డిస్క్	ḍisk	[sound:డిస్క్_google_female.mp3]
discipline	క్రమశిక్షణ	kramaśikṣaṇa	[sound:క్రమశిక్షణ_google_female.mp3]
discount	తగ్గింపు	taggimpu	[sound:తగ్గింపు_google_female.mp3]
discover	కనుగొనండి	kanugonaṇḍi	[sound:కనుగొనండి_google_female.mp3]
discovery	ఆవిష్కరణ	āviṣkaraṇa	[sound:ఆవిష్కరణ_google_female.mp3]
discuss	చర్చించండి	carcin̄caṇḍi	[sound:చర్చించండి_google_female.mp3]
discussion	చర్చ	carca	[sound:చర్చ_google_female.mp3]
disease	వ్యాధి	vyādhi	[sound:వ్యాధి_google_female.mp3]
disgust	అసహ్యం	asahyaṁ	[sound:అసహ్యం_google_female.mp3]
disgusted	అసహ్యం వేసింది	asahyaṁ vēsindi	[sound:అసహ్యం వేసింది_google_female.mp3]
disgusting	అసహ్యకరమైన	asahyakaramaina	[sound:అసహ్యకరమైన_google_female.mp3]
dish	వంటకం	vaṇṭakaṁ	[sound:వంటకం_google_female.mp3]
dishonest	నిజాయితీ లేని	nijāyitī lēni	[sound:నిజాయితీ లేని_google_female.mp3]
dishonestly	నిజాయితీ లేకుండా	nijāyitī lēkuṇḍā	[sound:నిజాయితీ లేకుండా_google_female.mp3]
disk	డిస్క్	ḍisk	[sound:డిస్క్_google_female.mp3]
dislike	అయిష్టం	ayiṣṭaṁ	[sound:అయిష్టం_google_female.mp3]
dismiss	తొలగించు	tolagin̄cu	[sound:తొలగించు_google_female.mp3]
display	ప్రదర్శన	pradarśana	[sound:ప్రదర్శన_google_female.mp3]
dissolve	కరిగిపోతాయి	karigipōtāyi	[sound:కరిగిపోతాయి_google_female.mp3]
distance	దూరం	dūraṁ	[sound:దూరం_google_female.mp3]
distinguish	వేరు	vēru	[sound:వేరు_google_female.mp3]
distribute	పంపిణీ	pampiṇī	[sound:పంపిణీ_google_female.mp3]
distribution	పంపిణీ	pampiṇī	[sound:పంపిణీ_google_female.mp3]
district	జిల్లా	jillā	[sound:జిల్లా_google_female.mp3]
disturb	భంగం కలిగించు	bhaṅgaṁ kaligin̄cu	[sound:భంగం కలిగించు_google_female.mp3]
disturbing	కలవరపెడుతోంది	kalavarapeḍutōndi	[sound:కలవరపెడుతోంది_google_female.mp3]
divide	విభజించు	vibhajin̄cu	[sound:విభజించు_google_female.mp3]
division	విభజన	vibhajana	[sound:విభజన_google_female.mp3]
divorce	విడాకులు	viḍākulu	[sound:విడాకులు_google_female.mp3]
divorced	విడాకులు తీసుకున్నారు	viḍākulu tīsukunnāru	[sound:విడాకులు తీసుకున్నారు_google_female.mp3]
do 1	చేయండి 1	cēyaṇḍi 1	[sound:చేయండి 1_google_female.mp3]
doctor	వైద్యుడు	vaidyuḍu	[sound:వైద్యుడు_google_female.mp3]
document	పత్రం	patraṁ	[sound:పత్రం_google_female.mp3]
dog	కుక్క	kukka	[sound:కుక్క_google_female.mp3]
dollar	డాలర్	ḍālar	[sound:డాలర్_google_female.mp3]
domestic	దేశీయ	dēśīya	[sound:దేశీయ_google_female.mp3]
dominate	ఆధిపత్యం చెలాయిస్తాయి	ādhipatyaṁ celāyistāyi	[sound:ఆధిపత్యం చెలాయిస్తాయి_google_female.mp3]
door	తలుపు	talupu	[sound:తలుపు_google_female.mp3]
dot	చుక్క	cukka	[sound:చుక్క_google_female.mp3]
double	రెట్టింపు	reṭṭimpu	[sound:రెట్టింపు_google_female.mp3]
doubt	సందేహం	sandēhaṁ	[sound:సందేహం_google_female.mp3]
do up	అప్ చేయండి	ap cēyaṇḍi	[sound:అప్ చేయండి_google_female.mp3]
do with	తో చేయండి	tō cēyaṇḍi	[sound:తో చేయండి_google_female.mp3]
do without	లేకుండా చేయండి	lēkuṇḍā cēyaṇḍi	[sound:లేకుండా చేయండి_google_female.mp3]
down	క్రిందికి	krindiki	[sound:క్రిందికి_google_female.mp3]
downstairs	మెట్లమీద	meṭlamīda	[sound:మెట్లమీద_google_female.mp3]
downward	క్రిందికి	krindiki	[sound:క్రిందికి_google_female.mp3]
downwards	క్రిందికి	krindiki	[sound:క్రిందికి_google_female.mp3]
dozen	డజను	ḍajanu	[sound:డజను_google_female.mp3]
draft	డ్రాఫ్ట్	ḍrāphṭ	[sound:డ్రాఫ్ట్_google_female.mp3]
drag	లాగండి	lāgaṇḍi	[sound:లాగండి_google_female.mp3]
drama	నాటకం	nāṭakaṁ	[sound:నాటకం_google_female.mp3]
dramatic	నాటకీయమైన	nāṭakīyamaina	[sound:నాటకీయమైన_google_female.mp3]
dramatically	నాటకీయంగా	nāṭakīyaṅgā	[sound:నాటకీయంగా_google_female.mp3]
draw	డ్రా	ḍrā	[sound:డ్రా_google_female.mp3]
drawer	సొరుగు	sorugu	[sound:సొరుగు_google_female.mp3]
drawing	డ్రాయింగ్	ḍrāyiṅg	[sound:డ్రాయింగ్_google_female.mp3]
dream	కల	kala	[sound:కల_google_female.mp3]
dress	దుస్తులు	dustulu	[sound:దుస్తులు_google_female.mp3]
dressed	దుస్తులు ధరించారు	dustulu dharin̄cāru	[sound:దుస్తులు ధరించారు_google_female.mp3]
dress up	దుస్తులు ధరించండి	dustulu dharin̄caṇḍi	[sound:దుస్తులు ధరించండి_google_female.mp3]
drink	త్రాగండి	trāgaṇḍi	[sound:త్రాగండి_google_female.mp3]
drive	డ్రైవ్	ḍraiv	[sound:డ్రైవ్_google_female.mp3]
drive away	తరిమికొట్టండి	tarimikoṭṭaṇḍi	[sound:తరిమికొట్టండి_google_female.mp3]
drive off	తరిమికొట్టండి	tarimikoṭṭaṇḍi	[sound:తరిమికొట్టండి_google_female.mp3]
driver	డ్రైవర్	ḍraivar	[sound:డ్రైవర్_google_female.mp3]
driving	డ్రైవింగ్	ḍraiviṅg	[sound:డ్రైవింగ్_google_female.mp3]
drop	డ్రాప్	ḍrāp	[sound:డ్రాప్_google_female.mp3]
drop out	డ్రాప్ అవుట్	ḍrāp avuṭ	[sound:డ్రాప్ అవుట్_google_female.mp3]
drug	మందు	mandu	[sound:మందు_google_female.mp3]
drugstore	మందుల దుకాణం	mandula dukāṇaṁ	[sound:మందుల దుకాణం_google_female.mp3]
drum	డ్రమ్	ḍram	[sound:డ్రమ్_google_female.mp3]
drunk	తాగిన	tāgina	[sound:తాగిన_google_female.mp3]
dry	పొడి	poḍi	[sound:పొడి_google_female.mp3]
dry off	పొడిగా	poḍigā	[sound:పొడిగా_google_female.mp3]
dry up	ఎండిపోతాయి	eṇḍipōtāyi	[sound:ఎండిపోతాయి_google_female.mp3]
due	రావాల్సి ఉంది	rāvālsi undi	[sound:రావాల్సి ఉంది_google_female.mp3]
dull	నిస్తేజంగా	nistējaṅgā	[sound:నిస్తేజంగా_google_female.mp3]
dump	డంప్	ḍamp	[sound:డంప్_google_female.mp3]
during	సమయంలో	samayanlō	[sound:సమయంలో_google_female.mp3]
dust	దుమ్ము	dum'mu	[sound:దుమ్ము_google_female.mp3]
duty	విధి	vidhi	[sound:విధి_google_female.mp3]
DVD	DVD	dVD	[sound:DVD_google_female.mp3]
dying	చనిపోతున్నది	canipōtunnadi	[sound:చనిపోతున్నది_google_female.mp3]
each	ప్రతి	prati	[sound:ప్రతి_google_female.mp3]
each other	ఒకరికొకరు	okarikokaru	[sound:ఒకరికొకరు_google_female.mp3]
ear	చెవి	cevi	[sound:చెవి_google_female.mp3]
early	ప్రారంభ	prārambha	[sound:ప్రారంభ_google_female.mp3]
earn	సంపాదిస్తారు	sampādistāru	[sound:సంపాదిస్తారు_google_female.mp3]
earth	భూమి	bhūmi	[sound:భూమి_google_female.mp3]
ease	తేలిక	tēlika	[sound:తేలిక_google_female.mp3]
easily	సులభంగా	sulabhaṅgā	[sound:సులభంగా_google_female.mp3]
east	తూర్పు	tūrpu	[sound:తూర్పు_google_female.mp3]
eastern	తూర్పు	tūrpu	[sound:తూర్పు_google_female.mp3]
easy	సులభంగా	sulabhaṅgā	[sound:సులభంగా_google_female.mp3]
eat	తినండి	tinaṇḍi	[sound:తినండి_google_female.mp3]
eat out	బయట తినండి	bayaṭa tinaṇḍi	[sound:బయట తినండి_google_female.mp3]
eat up	తిను	tinu	[sound:తిను_google_female.mp3]
economic	ఆర్థిక	ārthika	[sound:ఆర్థిక_google_female.mp3]
economy	ఆర్థిక వ్యవస్థ	ārthika vyavastha	[sound:ఆర్థిక వ్యవస్థ_google_female.mp3]
edge	అంచు	an̄cu	[sound:అంచు_google_female.mp3]
edition	ఎడిషన్	eḍiṣan	[sound:ఎడిషన్_google_female.mp3]
editor	సంపాదకుడు	sampādakuḍu	[sound:సంపాదకుడు_google_female.mp3]
educate	చదువు	caduvu	[sound:చదువు_google_female.mp3]
educated	విద్యావంతుడు	vidyāvantuḍu	[sound:విద్యావంతుడు_google_female.mp3]
education	విద్య	vidya	[sound:విద్య_google_female.mp3]
effect	ప్రభావం	prabhāvaṁ	[sound:ప్రభావం_google_female.mp3]
effective	సమర్థవంతమైన	samarthavantamaina	[sound:సమర్థవంతమైన_google_female.mp3]
effectively	సమర్థవంతంగా	samarthavantaṅgā	[sound:సమర్థవంతంగా_google_female.mp3]
efficient	సమర్థవంతమైన	samarthavantamaina	[sound:సమర్థవంతమైన_google_female.mp3]
efficiently	సమర్ధవంతంగా	samardhavantaṅgā	[sound:సమర్ధవంతంగా_google_female.mp3]
effort	కృషి	kr̥ṣi	[sound:కృషి_google_female.mp3]
e.g.	ఉదా	udā	[sound:ఉదా_google_female.mp3]
egg	గుడ్డు	guḍḍu	[sound:గుడ్డు_google_female.mp3]
eight	ఎనిమిది	enimidi	[sound:ఎనిమిది_google_female.mp3]
eighteen	పద్దెనిమిది	paddenimidi	[sound:పద్దెనిమిది_google_female.mp3]
eighteenth	పద్దెనిమిదవది	paddenimidavadi	[sound:పద్దెనిమిదవది_google_female.mp3]
eighth	ఎనిమిదవది	enimidavadi	[sound:ఎనిమిదవది_google_female.mp3]
eightieth	ఎనభైవది	enabhaivadi	[sound:ఎనభైవది_google_female.mp3]
eighty	ఎనభై	enabhai	[sound:ఎనభై_google_female.mp3]
either	గాని	gāni	[sound:గాని_google_female.mp3]
elbow	మోచేయి	mōcēyi	[sound:మోచేయి_google_female.mp3]
elderly	వృద్ధుడు	vr̥d'dhuḍu	[sound:వృద్ధుడు_google_female.mp3]
elect	ఎన్నుకోబడతారు	ennukōbaḍatāru	[sound:ఎన్నుకోబడతారు_google_female.mp3]
election	ఎన్నిక	ennika	[sound:ఎన్నిక_google_female.mp3]
electric	విద్యుత్	vidyut	[sound:విద్యుత్_google_female.mp3]
electrical	విద్యుత్	vidyut	[sound:విద్యుత్_google_female.mp3]
electricity	విద్యుత్	vidyut	[sound:విద్యుత్_google_female.mp3]
electronic	ఎలక్ట్రానిక్	elakṭrānik	[sound:ఎలక్ట్రానిక్_google_female.mp3]
elegant	సొగసైన	sogasaina	[sound:సొగసైన_google_female.mp3]
element	మూలకం	mūlakaṁ	[sound:మూలకం_google_female.mp3]
elevator	ఎలివేటర్	elivēṭar	[sound:ఎలివేటర్_google_female.mp3]
eleven	పదకొండు	padakoṇḍu	[sound:పదకొండు_google_female.mp3]
eleventh	పదకొండవ	padakoṇḍava	[sound:పదకొండవ_google_female.mp3]
else	వేరే	vērē	[sound:వేరే_google_female.mp3]
elsewhere	మరెక్కడా	marekkaḍā	[sound:మరెక్కడా_google_female.mp3]
email	ఇమెయిల్	imeyil	[sound:ఇమెయిల్_google_female.mp3]
embarrass	ఇబ్బంది	ibbandi	[sound:ఇబ్బంది_google_female.mp3]
embarrassed	ఇబ్బందిపడ్డాడు	ibbandipaḍḍāḍu	[sound:ఇబ్బందిపడ్డాడు_google_female.mp3]
embarrassing	ఇబ్బందికరంగా	ibbandikaraṅgā	[sound:ఇబ్బందికరంగా_google_female.mp3]
embarrassment	ఇబ్బంది	ibbandi	[sound:ఇబ్బంది_google_female.mp3]
emerge	ఉద్భవిస్తాయి	udbhavistāyi	[sound:ఉద్భవిస్తాయి_google_female.mp3]
emergency	అత్యవసర	atyavasara	[sound:అత్యవసర_google_female.mp3]
emotion	భావోద్వేగం	bhāvōdvēgaṁ	[sound:భావోద్వేగం_google_female.mp3]
emotional	భావోద్వేగ	bhāvōdvēga	[sound:భావోద్వేగ_google_female.mp3]
emotionally	మానసికంగా	mānasikaṅgā	[sound:మానసికంగా_google_female.mp3]
emphasis	ఉద్ఘాటన	udghāṭana	[sound:ఉద్ఘాటన_google_female.mp3]
emphasize	నొక్కిచెప్పండి	nokkiceppaṇḍi	[sound:నొక్కిచెప్పండి_google_female.mp3]
empire	సామ్రాజ్యం	sāmrājyaṁ	[sound:సామ్రాజ్యం_google_female.mp3]
employ	ఉపాధి కల్పిస్తాయి	upādhi kalpistāyi	[sound:ఉపాధి కల్పిస్తాయి_google_female.mp3]
employee	ఉద్యోగి	udyōgi	[sound:ఉద్యోగి_google_female.mp3]
employer	యజమాని	yajamāni	[sound:యజమాని_google_female.mp3]
employment	ఉపాధి	upādhi	[sound:ఉపాధి_google_female.mp3]
empty	ఖాళీ	khāḷī	[sound:ఖాళీ_google_female.mp3]
enable	ప్రారంభించు	prārambhin̄cu	[sound:ప్రారంభించు_google_female.mp3]
encounter	ఎన్కౌంటర్	enkauṇṭar	[sound:ఎన్కౌంటర్_google_female.mp3]
encourage	ప్రోత్సహిస్తాయి	prōtsahistāyi	[sound:ప్రోత్సహిస్తాయి_google_female.mp3]
encouragement	ప్రోత్సాహం	prōtsāhaṁ	[sound:ప్రోత్సాహం_google_female.mp3]
end	ముగింపు	mugimpu	[sound:ముగింపు_google_female.mp3]
end in	ముగుస్తుంది	mugustundi	[sound:ముగుస్తుంది_google_female.mp3]
ending	ముగింపు	mugimpu	[sound:ముగింపు_google_female.mp3]
end up	ముగుస్తుంది	mugustundi	[sound:ముగుస్తుంది_google_female.mp3]
enemy	శత్రువు	śatruvu	[sound:శత్రువు_google_female.mp3]
energy	శక్తి	śakti	[sound:శక్తి_google_female.mp3]
engage	నిమగ్నమై	nimagnamai	[sound:నిమగ్నమై_google_female.mp3]
engaged	నిశ్చితార్థం	niścitārthaṁ	[sound:నిశ్చితార్థం_google_female.mp3]
engine	ఇంజిన్	in̄jin	[sound:ఇంజిన్_google_female.mp3]
engineer	ఇంజనీర్	in̄janīr	[sound:ఇంజనీర్_google_female.mp3]
engineering	ఇంజనీరింగ్	in̄janīriṅg	[sound:ఇంజనీరింగ్_google_female.mp3]
enjoy	ఆనందించండి	ānandin̄caṇḍi	[sound:ఆనందించండి_google_female.mp3]
enjoyable	ఆనందించే	ānandin̄cē	[sound:ఆనందించే_google_female.mp3]
enjoyment	ఆనందం	ānandaṁ	[sound:ఆనందం_google_female.mp3]
enormous	అపారమైన	apāramaina	[sound:అపారమైన_google_female.mp3]
enough	తగినంత	taginanta	[sound:తగినంత_google_female.mp3]
enquiry	విచారణ	vicāraṇa	[sound:విచారణ_google_female.mp3]
ensure	నిర్ధారించండి	nirdhārin̄caṇḍi	[sound:నిర్ధారించండి_google_female.mp3]
enter	ఎంటర్	eṇṭar	[sound:ఎంటర్_google_female.mp3]
entertain	వినోదం	vinōdaṁ	[sound:వినోదం_google_female.mp3]
entertainer	వినోదిని	vinōdini	[sound:వినోదిని_google_female.mp3]
entertaining	వినోదాత్మకంగా	vinōdātmakaṅgā	[sound:వినోదాత్మకంగా_google_female.mp3]
entertainment	వినోదం	vinōdaṁ	[sound:వినోదం_google_female.mp3]
enthusiasm	ఉత్సాహం	utsāhaṁ	[sound:ఉత్సాహం_google_female.mp3]
enthusiastic	ఉత్సాహభరితమైన	utsāhabharitamaina	[sound:ఉత్సాహభరితమైన_google_female.mp3]
enthusiastically	ఉత్సాహంగా	utsāhaṅgā	[sound:ఉత్సాహంగా_google_female.mp3]
entire	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]
entirely	పూర్తిగా	pūrtigā	[sound:పూర్తిగా_google_female.mp3]
entitle	హక్కు	hakku	[sound:హక్కు_google_female.mp3]
entrance 1	ప్రవేశ 1	pravēśa 1	[sound:ప్రవేశ 1_google_female.mp3]
entry	ప్రవేశం	pravēśaṁ	[sound:ప్రవేశం_google_female.mp3]
envelope	కవరు	kavaru	[sound:కవరు_google_female.mp3]
environment	పర్యావరణం	paryāvaraṇaṁ	[sound:పర్యావరణం_google_female.mp3]
environmental	పర్యావరణ	paryāvaraṇa	[sound:పర్యావరణ_google_female.mp3]
equal	సమానం	samānaṁ	[sound:సమానం_google_female.mp3]
equally	సమానంగా	samānaṅgā	[sound:సమానంగా_google_female.mp3]
equipment	పరికరాలు	parikarālu	[sound:పరికరాలు_google_female.mp3]
equivalent	సమానమైన	samānamaina	[sound:సమానమైన_google_female.mp3]
error	లోపం	lōpaṁ	[sound:లోపం_google_female.mp3]
escape	తప్పించుకుంటారు	tappin̄cukuṇṭāru	[sound:తప్పించుకుంటారు_google_female.mp3]
especially	ముఖ్యంగా	mukhyaṅgā	[sound:ముఖ్యంగా_google_female.mp3]
essay	వ్యాసం	vyāsaṁ	[sound:వ్యాసం_google_female.mp3]
essential	అవసరమైన	avasaramaina	[sound:అవసరమైన_google_female.mp3]
essentially	ముఖ్యంగా	mukhyaṅgā	[sound:ముఖ్యంగా_google_female.mp3]
establish	ఏర్పాటు	ērpāṭu	[sound:ఏర్పాటు_google_female.mp3]
estate	ఎస్టేట్	esṭēṭ	[sound:ఎస్టేట్_google_female.mp3]
estimate	అంచనా	an̄canā	[sound:అంచనా_google_female.mp3]
etc.	మొదలైనవి	modalainavi	[sound:మొదలైనవి_google_female.mp3]
euro	యూరో	yūrō	[sound:యూరో_google_female.mp3]
even	కూడా	kūḍā	[sound:కూడా_google_female.mp3]
evening	సాయంత్రం	sāyantraṁ	[sound:సాయంత్రం_google_female.mp3]
event	సంఘటన	saṅghaṭana	[sound:సంఘటన_google_female.mp3]
eventually	చివరికి	civariki	[sound:చివరికి_google_female.mp3]
ever	ఎప్పుడూ	eppuḍū	[sound:ఎప్పుడూ_google_female.mp3]
every	ప్రతి	prati	[sound:ప్రతి_google_female.mp3]
everybody	అందరూ	andarū	[sound:అందరూ_google_female.mp3]
everyone	ప్రతి ఒక్కరూ	prati okkarū	[sound:ప్రతి ఒక్కరూ_google_female.mp3]
everything	ప్రతిదీ	pratidī	[sound:ప్రతిదీ_google_female.mp3]
everywhere	ప్రతిచోటా	praticōṭā	[sound:ప్రతిచోటా_google_female.mp3]
evidence	సాక్ష్యం	sākṣyaṁ	[sound:సాక్ష్యం_google_female.mp3]
evil	చెడు	ceḍu	[sound:చెడు_google_female.mp3]
ex-	మాజీ-	mājī-	[sound:మాజీ-_google_female.mp3]
exact	ఖచ్చితమైన	khaccitamaina	[sound:ఖచ్చితమైన_google_female.mp3]
exactly	సరిగ్గా	sariggā	[sound:సరిగ్గా_google_female.mp3]
exaggerate	అతిశయోక్తి	atiśayōkti	[sound:అతిశయోక్తి_google_female.mp3]
exaggerated	అతిశయోక్తి	atiśayōkti	[sound:అతిశయోక్తి_google_female.mp3]
exam	పరీక్ష	parīkṣa	[sound:పరీక్ష_google_female.mp3]
examination	పరీక్ష	parīkṣa	[sound:పరీక్ష_google_female.mp3]
examine	పరిశీలించండి	pariśīlin̄caṇḍi	[sound:పరిశీలించండి_google_female.mp3]
example	ఉదాహరణ	udāharaṇa	[sound:ఉదాహరణ_google_female.mp3]
excellent	అద్భుతమైన	adbhutamaina	[sound:అద్భుతమైన_google_female.mp3]
except	తప్ప	tappa	[sound:తప్ప_google_female.mp3]
exception	మినహాయింపు	minahāyimpu	[sound:మినహాయింపు_google_female.mp3]
exchange	మార్పిడి	mārpiḍi	[sound:మార్పిడి_google_female.mp3]
excite	ఉత్తేజపరుస్తాయి	uttējaparustāyi	[sound:ఉత్తేజపరుస్తాయి_google_female.mp3]
excited	ఉత్సాహంగా	utsāhaṅgā	[sound:ఉత్సాహంగా_google_female.mp3]
excitement	ఉత్సాహం	utsāhaṁ	[sound:ఉత్సాహం_google_female.mp3]
exciting	ఉత్తేజకరమైన	uttējakaramaina	[sound:ఉత్తేజకరమైన_google_female.mp3]
exclude	మినహాయించండి	minahāyin̄caṇḍi	[sound:మినహాయించండి_google_female.mp3]
excluding	మినహాయించి	minahāyin̄ci	[sound:మినహాయించి_google_female.mp3]
excuse	మన్నించు	mannin̄cu	[sound:మన్నించు_google_female.mp3]
executive	కార్యనిర్వాహకుడు	kāryanirvāhakuḍu	[sound:కార్యనిర్వాహకుడు_google_female.mp3]
exercise	వ్యాయామం	vyāyāmaṁ	[sound:వ్యాయామం_google_female.mp3]
exhibit	ప్రదర్శించు	pradarśin̄cu	[sound:ప్రదర్శించు_google_female.mp3]
exhibition	ప్రదర్శన	pradarśana	[sound:ప్రదర్శన_google_female.mp3]
exist	ఉనికిలో ఉన్నాయి	unikilō unnāyi	[sound:ఉనికిలో ఉన్నాయి_google_female.mp3]
existence	ఉనికి	uniki	[sound:ఉనికి_google_female.mp3]
exit	నిష్క్రమించు	niṣkramin̄cu	[sound:నిష్క్రమించు_google_female.mp3]
expand	విస్తరించండి	vistarin̄caṇḍi	[sound:విస్తరించండి_google_female.mp3]
expect	ఆశించవచ్చు	āśin̄cavaccu	[sound:ఆశించవచ్చు_google_female.mp3]
