a 	 ﻿a
dozen 	 డజను
draft 	 ముసాయిదా
drag 	 లాగు
drama 	 నాటకం
dramatic 	 నాటకీయం
dramatically 	 నాటకీయంగా
draw 	 గీయు
drawer 	 సొరుగు
drawing 	 చిత్ర పటం
dream 	 కల
dress 	 దుస్తులు
dressed 	 ముస్తాబవు
dress up 	 దుస్తులు ధరించండి
drink 	 తాగు
drive 	 నడుపు
drive away 	 దూరంగా వెళ్లండి
drive off 	 డ్రైవ్ ఆఫ్ చేయండి
driver 	 చోదకుడు
driving 	 డ్రైవింగ్
drop 	 బొట్టు
drop out 	 డ్రాప్ అవుట్
drug 	 మందు
drugstore 	 మందుల దుకాణం
drum 	 డోలు
drunk 	 ఉన్మత్త
dry 	 ఎండు
dry off 	 ఎండిపోండి
dry up 	 ఎండు
due 	 కట్టవలసిన
dull 	 కండరాల నొప్పితో ఇబ్బంది పడుతున్నాను
dump 	 కుమ్మరించు
during 	 అప్పుడు
dust 	 దుమ్ము
duty 	 కర్తవ్యం
DVD 	 DVD
dying 	 చనిపోవడం
each 	 ప్రతి
each other 	 ఒకరికొకరు
ear 	 చెవి
early 	 పెందరాళే
earn 	 సంపాదించు
earth 	 భూమి
ease 	 అవలీల
easily 	 చులాగ్గా
east 	 తూర్పు
eastern 	 ప్రాచీన
easy 	 అనుకూలమైన
eat 	 తిను
eat out 	 బయట తినండి
eat up 	 తినండి
economic 	 ఆర్థిక
economy 	 పొదుపు
edge 	 అంచు
edition 	 కూర్పు
editor 	 సంపాదకుడు
educate 	 తెలియజెప్పు
educated 	 విద్యావంతులు
education 	 విద్య
effect 	 ప్రభావం
effective 	 ప్రభావవంతంగా ఉంటుంది
effectively 	 సమర్థవంతంగా
efficient 	 సమర్థవంతంగా
efficiently 	 సమర్థవంతంగా
effort 	 ప్రయత్నం
e.g. 	 ఉదా:
egg 	 గుడ్డు
eight 	 ఎనిమిది
eighteen 	 పద్దెనిమిది
eighteenth 	 అష్టాదశ
eighth 	 ఎనిమిదవ
eightieth 	 ఎనభైవ స్థానం
eighty 	 ఎనభై
either 	 లేదా
elbow 	 మోచేయి
elderly 	 వృద్ధులు
elect 	 ఎంపిక చేయండి
election 	 ఎన్నిక
electric 	 విద్యుత్
electrical 	 ఎలక్ట్రికల్
electricity 	 విద్యుత్తు
electronic 	 ఎలక్ట్రానిక్
elegant 	 సొంపైన
element 	 భూతం
elevator 	 లిఫ్ట్
eleven 	 పదకొండు
eleventh 	 పదకొండో
else 	 లేకపోతే
elsewhere 	 మరెక్కడా
email 	 ఇమెయిల్
embarrass 	 ఇబ్బంది పడుతున్నారు
embarrassed 	 సిగ్గుగా ఉంది
embarrassing 	 ఇబ్బందికరంగా ఉంది
embarrassment 	 చిరాకు
emerge 	 బయటపడు
emergency 	 అత్యవసర
emotion 	 ఉద్రేకం
emotional 	 భావోద్వేగం
emotionally 	 భావోద్వేగపరంగా
emphasis 	 ఉద్ఘాటన
emphasize 	 నొక్కి పలుకు
empire 	 సామ్రాజ్యం
employ 	 ఉపాధి
employee 	 ఉద్యోగి
employer 	 యజమాని
employment 	 పని
empty 	 ఖాళీ
enable 	 ఎనేబుల్
encounter 	 కలుసుకొను
encourage 	 ప్రోత్సహించు
encouragement 	 ప్రోత్సాహం
end 	 ముగించు
end in 	 దీనితో ముగుస్తుంది
ending 	 ముగింపు
end up 	 ముగుస్తుంది
enemy 	 శత్రువు
energy 	 శక్తి
engage 	 నిమగ్నం
engaged 	 నిశ్చితార్థం
engine 	 ఇంజను
engineer 	 యంత్రకారుడు
engineering 	 ఇంజనీరింగ్
enjoy 	 అనుభవించు
enjoyable 	 ఆహ్లాదకరంగా ఉంటుంది
enjoyment 	 వినోదం
enormous 	 అపారమైన
enough 	 సరి అయిన
enquiry 	 విచారణ
ensure 	 నిర్ధారించుకోండి
enter 	 దూరు
entertain 	 పెట్టుకో
entertainer 	 ఎంటర్ టైనర్
entertaining 	 వినోదాత్మకం
entertainment 	 వినోదం
enthusiasm 	 ఉత్సాహం
enthusiastic 	 పరమానందం
enthusiastically 	 ఉత్సాహంగా
entire 	 పూర్తి
entirely 	 పూర్తిగా
entitle 	 entitle
entrance 1 	 ప్రవేశము 1
entry 	 ఆరోపం
envelope 	 కవరు
environment 	 పర్యావరణం
environmental 	 పర్యావరణం
equal 	 సాటి
equally 	 సరిసమానంగా
equipment 	 సరంజామా
equivalent 	 సమానము
error 	 పొరపాటు
escape 	 తప్పించు
especially 	 విశేషించి
essay 	 వ్యాసం
essential 	 అవసరమైన
essentially 	 తప్పనిసరిగా
establish 	 నిర్ధారించు
estate 	 ఆస్తి
estimate 	 అంచనా
etc. 	 కంకి.
euro 	 యూరో
even 	 సరి
evening 	 సాయంత్రం
event 	 కార్యక్రమం
eventually 	 నిలకడమీద
ever 	 నిత్యం
every 	 ప్రతి
everybody 	 అందరూ
everyone 	 ప్రతి ఒక్కరు
everything 	 అంతా
everywhere 	 ప్రతిచోటా
evidence 	 సాక్ష్యం
evil 	 కీడు
ex- 	 మాజీ-
exact 	 ఖచ్చితమైన
exactly 	 కచ్చితంగా
exaggerate 	 అతిశయోక్తి
exaggerated 	 అతిశయోక్తి
exam 	 పరీక్ష
examination 	 పరీక్ష
examine 	 పరికించు
example 	 ఉదాహరణ
excellent 	 ఉత్తమ
except 	 తక్కిన
exception 	 మినహాయింపు
exchange 	 మార్చు
excite 	 రేపు
excited 	 ఉద్విగ్న
excitement 	 ఉత్తేజం
exciting 	 ఉత్తేజకరమైనది
exclude 	 మినహాయించు
excluding 	 మినహాయించి..
excuse 	 క్షమించు
executive 	 ఎగ్జిక్యూటివ్
exercise 	 వ్యాయామం
exhibit 	 ప్రదర్శించు
exhibition 	 చూపడం
exist 	 జీవించు
existence 	 ఉనికి
exit 	 నిష్క్రమణ
expand 	 సాగదియ్యి
expect 	 ఎదురుచూచు
expectation 	 సగటు
expected 	 ఆశించబడింది
expense 	 వ్యయము
expensive 	 విలువైన
experience 	 అనుభవించు
experienced 	 చెందు
experiment 	 ప్రయోగం
expert 	 నిపుణుడు
explain 	 వివరించు
explanation 	 వివరణ
explode 	 పేలు
explore 	 అన్వేషించండి
explosion 	 పేలుడు
export 	 ఎగుమతి
expose 	 బయట పెట్టు
express 	 వ్యక్తపరచు
expression 	 ఉక్తి
extend 	 పొడిగించు
extension 	 విస్తరించడం
extensive 	 విరివి
extent 	 విస్తారం
extra 	 అదనం
extraordinary 	 అసాధారణం
extreme 	 పరమ
extremely 	 చాలా
eye 	 కన్ను
face 	 ముఖం
face up to 	 ముఖం పైకి
facility 	 సౌలభ్యం
fact 	 వాస్తవం
factor 	 కారణం
factory 	 కర్మాగారం
fail 	 విఫలమవ్వు
failure 	 ఓడు
faint 	 మూర్ఛ
faintly 	 మూర్ఛగా
fair 	 సంత
fairly 	 న్యాయంగా
faith 	 భక్తి
faithful 	 నమ్మకమైన
faithfully 	 నమ్మకంగా
fall 	 పడు
false 	 తప్పు
fame 	 ఖ్యాతి
familiar 	 సుపరిచితం
family 	 సంసారం
famous 	 ప్రశస్త
fan 	 పంఖా
fancy 	 భ్రమ
far 	 దూరం
farm 	 తోట
farmer 	 కాపు
farming 	 వ్యవసాయం
farther 	 మరింత దూరం
farthest 	 farthest
fashion 	 శోకు
fashionable 	 ఫ్యాషన్
fast 	 వేగవంతమైన
fasten 	 బిగించు
fat 	 కొవ్వు
father 	 తండ్రి
faucet 	 faucet
fault 	 తప్పిదం
favour 	 కరుణించు
favourite 	 ఫేవరెట్
fear 	 బెదురు
feather 	 ఈక
feature 	 అలవాటు
February 	 ఫిబ్రవరి
federal 	 ఫెడరల్
fee 	 ఫీజు
feed 	 తినిపించు
feel 	 అనుభూతి
feeling 	 అనుభూతి
fellow 	 నేస్తం
female 	 ఆడ
fence 	 దడి
festival 	 పండుగ
fetch 	 సంపాదించండి
fever 	 జ్వరం
few 	 కొద్ది
field 	 చేను
fifteen 	 పదిహేను
fifteenth 	 పదిహేనవది
fifth 	 అయిదవ
fiftieth 	 fiftieth
fifty 	 యాభై
fight 	 పోరాటం
fighting 	 పోరాటం
figure 	 ఆకృతి
figure out 	 గుర్తించండి
file 	 ఆకురాయి
fill 	 నింపు
fill in 	 నింపండి
fill out 	 లావు కావడం
fill up 	 పూడ్చు
film 	 చలన చిత్రం
final 	 కడపటి
finally 	 కట్టకడకు
finance 	 మూలధనం
financial 	 ఆర్థిక
find 	 కనుగొనండి
find out 	 కనుగొనండి
fine 	 సన్నని
finely 	 చక్కగా
finger 	 వేలు
finish 	 పూర్తిచేయు
finished 	 పూర్తయింది
finish off 	 ముగించండి
fire 	 మంటలు
firm 	 గట్టిగా
firmly 	 దృఢంగా
first 	 తొలి
fish 	 చేప
fishing 	 చేపలు పట్టడం
fit 	 కుదుర్చు
fit in 	 ఫిట్ ఇన్
five 	 ఐదు
fix 	 నాటుకో
fixed 	 స్థిరమైన
flag 	 జెండా
flame 	 జ్వాల
flash 	 తళుక్కుమను
flat 	 చదును
flavour 	 రుచి
flesh 	 కండ
flight 	 పలాయనం
float 	 తేలు
flood 	 వరద
flooded 	 వరదలు ముంచెత్తాయి
flooding 	 వరదలు[మార్చు]
floor 	 నేల
flour 	 పిండి
flow 	 ప్రవహించు
flower 	 పువ్వు
flu 	 ఫ్లూ
fly 	 ఈగ
flying 	 ఎగరడం
focus 	 కేంద్రీకరించు
fold 	 మడత
folding 	 ఫోల్డింగ్
follow 	 వెంబడించు
following 	 ఈ క్రిందివి
follow up 	 అనుసరణ
food 	 ఆహారం
foot 	 పాదం
football 	 ఫుట్ బాల్
for 	 కొరకు
force 	 బలం
forecast 	 భావిసూచన
foreign 	 విదేశీ
forest 	 అడవి
forever 	 ఎప్పటికీ
forget 	 మరిచిపో
forgive 	 క్షమించు
fork 	 fork
form 	 ఏర్పడు
formal 	 సాంప్రదాయిక
formally 	 లాంఛనంగా
former 	 తొలి
formerly 	 గతంలో
formula 	 నియమం
fortieth 	 నలభైవ
fortune 	 తలరాత
forty 	 నలభై
forward 	 పంపు
found 	 దొరికింది
foundation 	 పునాది
four 	 నాలుగు
fourteen 	 పద్నాలుగు
fourteenth 	 పద్నాలుగువది
fourth 	 నాలుగవ
frame 	 చట్రం
free 	 ఉచిత
freedom 	 స్వేచ్ఛ
freely 	 స్వేచ్ఛగా
freeze 	 గడ్డకట్టు
frequent 	 తరచు
frequently 	 తరచుగా
fresh 	 తాజా
freshly 	 తాజాగా
Friday 	 శుక్రవారం
fridge 	 ఫ్రిజ్
friend 	 స్నేహితుడు
friendly 	 స్నేహపూర్వక
friendship 	 స్నేహం
frighten 	 భయపెట్టు
frighten away/off 	 భయపెట్టండి/ఆఫ్ చేయండి
frightened 	 భయం
frightening 	 భయానక
from 	 నుండి
front 	 ముందు
frozen 	 గడ్డకట్టిన
fruit 	 ఫలం
fry 	 వేపు
fuel 	 ఇంధనం
full 	 పూర్తి
fully 	 సంపూర్ణంగా
fun 	 తమాషా
function 	 ప్రమేయం
function as 	 ఈ విధంగా పనిచేస్తుంది
fund 	 నిధి
fundamental 	 మౌలిక
funeral 	 అంత్యక్రియలు[మార్చు]
funny 	 తమాషా
fur 	 బొచ్చు
furniture 	 ఫర్నిచర్
further 	 అవతలి
future 	 భవిష్యత్తు
gain 	 పొందు
gallon 	 గాలన్
gamble 	 జూదం
gambling 	 జూదం
game 	 ఆట
gap 	 పగులు
garage 	 గ్యారేజీ
garbage 	 చెత్త
garden 	 తోట
gas 	 వాయువు
gasoline 	 గ్యాసోలిన్
gate 	 ద్వారం
gather 	 సేకరించు
gear 	 గేర్
general 	 సాధారణం
generally 	 మామూలుగా
generate 	 పుట్టించు
generation 	 తరం
generous 	 ఉదారంగా
generously 	 ఉదారంగా
gentle 	 నింపాది
gentleman 	 మర్యాదస్తుడు
gently 	 అల్లన
genuine 	 అసలు
genuinely 	 నిజంగా
geography 	 భూగోళ శాస్త్రం
get 	 తెచ్చుకో
get away 	 బయటపడు
get away with 	 దీనితో తప్పించుకోండి
get back 	 తిరిగి పొందండి
get by 	 పొందండి
get in 	 లోపలకు రండి
get into 	 లోపలికి ప్రవేశించండి
get off 	 వెళ్ళిపో
get on 	 ఆన్ అవ్వండి
get on with 	 దీనితో ముందుకు సాగండి
get out of 	 బయటకు రండి
get over 	 ముగియండి
get round 	 గుండ్రంగా ఉండండి
get round to 	 రౌండ్ కు వెళ్లండి
get through 	 పూర్తి చేయండి
get up 	 నిలబడు
giant 	 అసమానుడు
gift 	 కానుక
girl 	 అమ్మాయి
girlfriend 	 స్నేహితురాలు
give 	 ఇవ్వు
give away 	 ఇచ్చివేయడం
give back 	 తిరిగి ఇవ్వండి
give in 	 ఇవ్వండి
give off 	 ఇవ్వండి
give out 	 ఇవ్వండి
give up 	 త్యజించు
glad 	 సంతోషం
glass 	 గ్లాసు
global 	 గ్లోబల్
glove 	 glove
glue 	 బంక
go 	 వెళ్ళు
go ahead 	 ముందుకు వెళ్ళు
goal 	 లక్ష్యం
go away 	 దూరంగా వెళ్ళు
go back 	 వెనక్కి వెళ్ళు
go back to 	 తిరిగి వెళ్లండి
go by 	 వెళ్ళండి
god 	 దేవుడు
go down 	 దిగు
go into 	 లోపలికి వెళ్లండి
gold 	 బంగారం
good 	 యోగ్యమైన
goodbye 	 వీడ్కోలు
goods 	 సరుకులు
go off 	 వెళ్లిపోండి
go on 	 కొనసాగించు
go on doing 	 చేస్తూనే ఉండండి
go out 	 బయటకి వెళ్ళు
go out with 	 బయటకు వెళ్లండి
go over 	 వెళ్లండి
go round 	 చుట్టూ తిరగండి
go through 	 దాని గుండా వెళ్ళండి
go through with 	 దీనితో ముందుకు సాగండి
go to 	 వెళ్ళండి
go up 	 పైకి వెళ్ళండి
govern 	 పరిపాలించు
government 	 ప్రభుత్వం
governor 	 పాలకుడు
go with 	 తోడుగా వెళ్ళు
go without 	 లేకుండా వెళ్ళండి
grab 	 grab
grade 	 దర్జా
gradual 	 క్రమంగా
gradually 	 క్రమంగా
grain 	 గింజ
gram 	 గ్రాము
grammar 	 వ్యాకరణం
grand 	 గ్రాండ్
grandchild 	 మనమరాలు
granddaughter 	 మనుమరాలు
grandfather 	 తాతయ్య
grandmother 	 అమ్మమ్మ
grandparent 	 తాత
grandson 	 మనుమడు
grant 	 దానం
grass 	 గడ్డి
grateful 	 కృతజ్ఞత
grave 1 	 సమాధి 1
gravely 	 గంభీరంగా
great 	 గొప్ప
greatly 	 గొప్పగా
green 	 పచ్చ
grey 	 బూడిదరంగు
grocery 	 కిరాణా
ground 	 నేల
group 	 సమూహం
grow 	 ఎదుగు
growth 	 పెరుగుదల
grow up 	 ఎదుగు
guarantee 	 పూచీ
guard 	 ఆదుకునేవాడు
guess 	 ఊహించు
guest 	 చుట్టపు
guide 	 పర్యవేక్షకుడు
guilty 	 దోషి
gun 	 తుపాకి
guy 	 అబ్బాయి
habit 	 అలవాటు
hair 	 వెంట్రుక
hairdresser 	 హెయిర్ డ్రెస్సర్
half 	 సగము
hall 	 హాలు
hammer 	 సుత్తి
hand 	 చెయ్యి
hand back 	 చేతిని వెనక్కి తిప్పండి
hand down 	 చేతిని కిందకు దించండి
hand in 	 చేతితో
handle 	 పిడి
hand out 	 చేతిని బయటకు తీయండి
hand over 	 అందించు
hand round 	 చేతి గుండ్రంగా
hang 	 వేలాడు
hang about 	 వేలాడదీయండి
hang about with 	 వారితో కలిసి తిరగండి
hang around 	 చుట్టూ తిరగండి
hang around with 	 వారితో కలిసి తిరగండి
hang on 	 వింటారు
hang on to 	 వేలాడదీయండి
hang up 	 వేలాడదీయండి
happen 	 జరుగుతుంది
happen to 	 ఇలా జరుగుతుంది
happily 	 ఆనందంగా
happiness 	 సంతోషం
happy 	 ప్రశాంతం
hard 	 గట్టి
hardly 	 తక్కువగా
harm 	 హాని
harmful 	 హానికరమైన
harmless 	 హానిచేయని
hat 	 టోపీ
hate 	 ద్వేషించు
hatred 	 పగ
have 	 కలిగినది
have back 	 తిరిగి వచ్చాయి
have on 	 ఉన్నాయి
have to 	 ఉండాలి
he 	 అతను
head 	 తల
headache 	 తలనొప్పి
heal 	 మాను
health 	 ఆరోగ్యం
healthy 	 ఆరోగ్యకరమైన
hear 	 విను
hear from 	 దీని నుండి వినండి
hearing 	 వినడం
hear of 	 దాని గురించి వినండి
heart 	 గుండె
heat 	 వేడి
heating 	 వేడెక్కడం
heat up 	 వేడి చేయండి
heaven 	 స్వర్గం
heavily 	 భారీగా
heavy 	 బరువైన
heel 	 మడమ
height 	 ఎత్తు
hell 	 నరకం
hello 	 హలో
help 	 సహాయం చేయు
helpful 	 సహాయభూత
help out 	 సహాయం చేయండి
hence 	 అందువల్ల
her 	 ఆమెను
here 	 ఇక్కడ
hero 	 ధీరుడు
hers 	 ఆమెది
herself 	 స్వయంగా
hesitate 	 జంకు
hi 	 హాయ్
hide 	 దాచు
high 	 మిక్కిలి
highlight 	 హైలైట్
highly 	 ఎక్కువగా
highway 	 రహదారి
hill 	 గుట్ట
him 	 అతనిని
himself 	 తాను
hip 	 తుంటి ఎముక
hire 	 అద్దెకు తీసుకో
hire out 	 అద్దెకు తీసుకోండి
his 	 అతని
historical 	 చారిత్రక
history 	 చరిత్ర
hit 	 తగులు
hobby 	 అలవాటు
hold 	 పట్టు
hold back 	 వెనక్కి తగ్గండి
hold on 	 ఆగు
hold on to 	 పట్టుకోండి
hold out 	 పట్టుకోండి
hold up 	 పట్టుకొని ఉండు
hole 	 కన్నం
holiday 	 సెలవు
hollow 	 తొర్ర
holy 	 పవిత్రం
home 	 ఉనికిపట్టు
homework 	 ఇంటిపని
honest 	 నిజాయితీ
honestly 	 నిజాయితీగా
honour 	 గౌరవం
hook 	 తగిలించు
hope 	 ఆశ
horizontal 	 సమాంతరం
horn 	 కొమ్ము
horror 	 భయానకం
horse 	 గుర్రం
hospital 	 ఆసుపత్రి
host 	 మూలకారకుడు
hot 	 వేడి
hotel 	 హోటల్
hour 	 గంట
house 	 ఇల్లు
household 	 కుటుంబం
housing 	 గృహనిర్మాణం
how 	 ఎలా
however 	 అయినా
huge 	 బ్రహ్మాండమైన
human 	 మనిషి
humorous 	 హాస్యం
humour 	 హాస్యం
hundred 	 వంద
hundredth 	 నూరవ
hungry 	 ఆకలి
hunt 	 వేట
hunting 	 వేట
hurry 	 తొందర పాటు
hurry up 	 త్వరగా
hurt 	 ఇబ్బంది పెట్టు
husband 	 మొగుడు
I 	 నేను
ice 	 మంచు
ice cream 	 ఐస్ క్రీమ్
idea 	 ఉపాయం
ideal 	 ఆదర్శ
identify 	 గుర్తించు
identify with 	 దీనితో గుర్తించండి
identity 	 గుర్తింపు
i.e. 	 అంటే.
if 	 అయితే
ignore 	 విస్మరించు
ill 	 అనారోగ్యం
illegal 	 చట్టవిరుద్ధం
illegally 	 చట్టవిరుద్ధంగా
illness 	 అనారోగ్యం
illustrate 	 వివరించు
image 	 విగ్రహం
imaginary 	 ఊహాత్మక
imagination 	 కల్పన
imagine 	 ఊహించు
immediate 	 తక్షణ
immediately 	 వెంటనే
immoral 	 అనైతిక
impact 	 తాకిడి
impatient 	 ఓర్పులేని
implication 	 ఇరుక్కోవడం
imply 	 సూచించండి
import 	 దిగుమతి
importance 	 ప్రాముఖ్యం
important 	 ముఖ్యమైన
importantly 	 ముఖ్యంగా
impose 	 వేయు
impossible 	 కుదరదు
impress 	 ఆకట్టుకుంది
impressed 	 ఆకట్టుకుంది
impression 	 భావం
impressive 	 ఆకట్టుకుంది
improve 	 మెరుగుపరచు
improvement 	 అభివృద్ధి
in 	 లో
inability 	 అశక్తత
inch 	 అంగుళం
incident 	 పని
include 	 చేర్చు
including 	 వీటితో సహా
income 	 ఆదాయం
increase 	 పెంచు
increasingly 	 ఎక్కువగా
indeed 	 నిజంగా
independence 	 స్వతంత్రం
independent 	 స్వతంత్ర
independently 	 స్వతంత్రంగా
index 	 ఇండెక్స్
indicate 	 సూచించు
indication 	 సూచన
indirect 	 పరోక్ష
indirectly 	 పరోక్షంగా
individual 	 వ్యక్తి
indoor 	 ఇండోర్
indoors 	 ఇంట్లో
industrial 	 పారిశ్రామిక
industry 	 పరిశ్రమ
inevitable 	 అనివార్యం
inevitably 	 అనివార్యం
infect 	 సోకుతుంది
infected 	 సోకింది
infection 	 సంక్రమణ
infectious 	 అంటుకునే
influence 	 ప్రభావము
inform 	 తెలుపు
informal 	 అనధికారిక
information 	 సమాచారం
ingredient 	 దినుసు
initial 	 initial
initially 	 ప్రారంభంలో
initiative 	 చొరవ
injure 	 గాయపరచు
injured 	 గాయపడ్డాడు
injury 	 గాయం
ink 	 సిరా
inner 	 లో
innocent 	 innocent
insect 	 పురుగు
insert 	 చొప్పించు
inside 	 లోపల
insist 	 పట్టుబట్టు
insist on 	 పట్టుబట్టండి
insist on doing 	 చేయమని పట్టుబట్టండి
install 	 ఇన్ స్టాల్ చేయండి
instance 	 ఉదాహరించు
instead 	 బదులుగా
instead of 	 బదులుగా
institute 	 సంస్థ
institution 	 సంస్థ
instruction 	 బోధన
instrument 	 పనిముట్టు
insult 	 అవమానం
insulting 	 అవమానకరంగా..
insurance 	 బీమా
intelligence 	 తెలివి
intelligent 	 తెలివైన
intend 	 ఉద్దేశం
intended 	 ఉద్దేశించబడింది
intention 	 ఉద్దేశం
interest 	 ఆసక్తి
interested 	 ఆసక్తిగా ఉంది
interesting 	 ఆసక్తికరమైన
interior 	 లోపలి
internal 	 ఆంతరంగిక
international 	 అంతర్జాతీయ
Internet 	 ఇంటర్నెట్
interpret 	 అనువదించు
interpretation 	 వివరణ[మార్చు]
interrupt 	 అడ్డుపడు
interruption 	 అంతరాయం
interval 	 సందు
interview 	 ఎదురు బదురుగా ఉండి
into 	 లోనికి
introduce 	 ప్రవేశ పెట్టు
introduction 	 పరిచయం
invent 	 కనుగొను
invention 	 ఆవిష్కరణ
invest 	 ఇన్వెస్ట్ చేయండి
investigate 	 పరిశీలించు
investigation 	 విచారణ
investment 	 పెట్టుబడి
invitation 	 పిలుపు
invite 	 ఆహ్వానించు
involve 	 పాల్గొనండి
involved 	 నిమగ్నమయ్యారు
involvement 	 ప్రమేయం
iron 	 ఇనుము
irritate 	 చిరాకు
irritated 	 చిరాకుగా ఉంది
irritating 	 చిరాకు కలిగిస్తుంది
island 	 ద్వీపం
issue 	 జారీచేయు
it 	 ఇది
item 	 అంశం
its 	 ఇది
itself 	 స్వయంగా
jacket 	 చొక్కా
jam 	 తాండ్ర
January 	 జనవరి
jealous 	 అసూయ
jeans 	 జీన్స్
jelly 	 జిగురు
jewellery 	 ఆభరణాలు
job 	 ఉద్యోగం
join 	 జతకూర్చు
join in 	 చేరండి
joint 	 కీలు
jointly 	 సంయుక్తంగా
joke 	 హాస్యోక్తి
journalist 	 విలేఖరి
journey 	 ప్రయాణం
joy 	 సంతోషం
judge 	 న్యాయమూర్తి
judgement 	 తీర్పు
juice 	 రసం
July 	 జులై
jump 	 దుముకు
June 	 జూన్
junior 	 జూనియర్
just 	 ఇప్పుడే
justice 	 న్యాయమూర్తి
justified 	 సమర్థించబడింది
justify 	 సమర్థించండి
keen 	 ఆసక్తిగా ఉంది
keep 	 ఉంచు
keep out 	 దూరంగా ఉండండి
keep out of 	 దూరంగా ఉండండి
keep up 	 కొనసాగించండి
keep up with 	 కొనసాగించండి
key 	 తాళంచెవి
keyboard 	 కీబోర్డు
kick 	 తన్ను
kid 	 మేకపిల్ల
kill 	 చంపు
killing 	 చంపడం
kilogram 	 కిలోగ్రామ్
kilometre 	 కి.మీ
kind 	 జాతి
kindly 	 దయతో
kindness 	 నమ్మకం
king 	 రాజు
kiss 	 ముద్దు
kitchen 	 వంటగది
knee 	 మోకాలు
knife 	 కత్తి
knit 	 అల్లు
knitted 	 knitted
knitting 	 అల్లడం
knock 	 తట్టు
knock down 	 కూల్చు
knock out 	 నాకౌట్
knot 	 ముడి
know 	 ఎరుగు
knowledge 	 జ్ఞానం
lab 	 ప్రయోగశాల
label 	 ఉల్లాకు
laboratory 	 ప్రయోగశాల
labour 	 కూలీ
lack 	 కొరత
lacking 	 లేకపోవడం
lady 	 దొరసాని
lake 	 సరస్సు
lamp 	 దీపం
land 	 దించు
landscape 	 ల్యాండ్ స్కేప్
lane 	 గల్లీ
language 	 భాష
large 	 పెద్ద
largely 	 ఎక్కువగా
last 1 	 చివరి 1
late 	 ఆలస్యంగా
later 	 తరవాత
latest 	 సరికొత్త
latter 	 రెండవది
laugh 	 నవ్వు
laugh at 	 నవ్వండి
launch 	 లాంచ్
law 	 దానం
lawyer 	 న్యాయవాది
lay 	 పడుకో
layer 	 పొర
lazy 	 సోమరి
lead 1 	 లీడ్ 1
leader 	 నాయకుడు
leading 1 	 లీడింగ్ 1
leaf 	 ఆకు
league 	 కూటమి
lean 	 చిక్కిన
learn 	 నేర్చుకో
least 	 కనిష్ఠ
leather 	 తోలు
leave 	 సెలవు
leave out 	 వదిలేయండి
lecture 	 ఉపన్యాసం
left 	 ఎడమవైపు
leg 	 కాలు
legal 	 చట్టబద్ధ
legally 	 చట్టపరంగా
lemon 	 నిమ్మ
lend 	 అప్పిచ్చు
length 	 పొడవు
less 	 తక్కువ
lesson 	 పాఠం
let 	 అనుమతించండి
let down 	 విడిచిపెట్టండి
let off 	 విడిచిపెట్టండి
letter 	 ఉత్తరం
level 	 చదును
library 	 గ్రంథాలయం
licence 	 లైసెన్స్
license 	 లైసెన్స్
lid 	 మూత
lie 1 	 అబద్ధం 1
lie 2 	 అబద్ధం 2
lie around 	 చుట్టూ పడుకోండి
lie down 	 పరుండు
life 	 ప్రాణం
lift 	 ఎత్తడం
light 	 కాంతి
lightly 	 తేలికగా
like 	 వంటి
likely 	 అవకాశం ఉంది
limit 	 సరిహద్దు
limited 	 మిత
limit to 	 లిమిట్ వీటికి
line 	 గీత
link 	 లంకె
lip 	 పెదవి
liquid 	 ద్రవం
list 	 జాబితా
listen 	 విను
literature 	 సాహిత్యం
litre 	 లీటరు
little 	 కొంచెం
live 1 	 లైవ్ 1
live 2 	 live 2
lively 	 లైవ్లీ
live on 	 లైవ్ ఆన్
live through 	 లైవ్ ద్వారా
live together 	 కలిసి జీవించడం
living 	 ఉండటం
load 	 బరువు
loan 	 అప్పు
local 	 దేశవాళీ
locally 	 స్థానికంగా
locate 	 పెట్టు
located 	 ఎక్కడ ఉంది
location 	 స్థానము
lock 	 తాళం
lock up 	 లాక్ అప్ చేయండి
logic 	 తర్కం
logical 	 తార్కిక
lonely 	 ఒంటరిగా ఉండటం
long 	 పొడవైన
look 	 చూపు
look after 	 సంరక్షణ
look at 	 చూడండి
look down on 	 కిందకు చూడండి
look forward to 	 ఎదురు చూస్తున్నా
look into 	 పరిశీలించండి
look on 	 చూడండి
look on with 	 వీటితో చూడండి
look out 	 జాగ్రత్త
look out for 	 దీని కోసం చూడండి
look round 	 గుండ్రంగా చూడండి
look through 	 చూడు
look up 	 పైకి చూడండి
look up to 	 పైకి చూడండి
loose 	 వదులు
loosely 	 వదులుగా
lord 	 ప్రభువు
lorry 	 లారీ
lose 	 కోల్పోవు
loss 	 నష్టం
lost 	 పోయింది
lot 	 ఎంతో
loud 	 బిగ్గరగా
loudly 	 బిగ్గరగా
love 	 ప్రేమ
lovely 	 అందంగా ఉంది
lover 	 ప్రియురాలు
low 	 చవక
loyal 	 నమ్మకమైన
luck 	 అదృష్టం
lucky 	 అదృష్టం
luggage 	 సామాను
lump 	 సహించు
lunch 	 లంచ్
lung 	 ఊపిరితిత్తి
machine 	 యంత్రం
machinery 	 యంత్రాంగం
mad 	 పిచ్చి
magazine 	 పత్రిక
magic 	 ఇంద్రజాలం
mail 	 టపా
main 	 ముఖ్యమైన
mainly 	 ప్రధానంగా
maintain 	 కొనసాగించు
major 	 ప్రధాన
majority 	 మెజారిటీ
